director_name,actor_1_name,actor_2_name,actor_3_name,Genre,movie_title,comb
Elijah Bynum, Timothée Chalamet,"Chalamet,",Alex Roe,Drama Comedy,hot summer nights," Timothée Chalamet Chalamet, Alex Roe Elijah Bynum Drama Comedy"
Marc Turtletaub, Kelly Macdonald,"Macdonald,",David Denman,Drama,puzzle," Kelly Macdonald Macdonald, David Denman Marc Turtletaub Drama"
Marc Forster, Ewan McGregor,"McGregor,",Jim Cummings,Adventure Comedy Family Fantasy,christopher robin," Ewan McGregor McGregor, Jim Cummings Marc Forster Adventure Comedy Family Fantasy"
Jennifer Yuh Nelson, Amandla Stenberg,"Stenberg,",Harris Dickinson,Science Fiction Action Drama Romance Adventure Thriller,the darkest minds," Amandla Stenberg Stenberg, Harris Dickinson Jennifer Yuh Nelson Science Fiction Action Drama Romance Adventure Thriller"
Susanna Fogel, Mila Kunis,"Kunis,",Justin Theroux,Action Comedy,the spy who dumped me," Mila Kunis Kunis, Justin Theroux Susanna Fogel Action Comedy"
Desiree Akhavan, Chloë Grace Moretz,Grace,John Gallagher,Drama,the miseducation of cameron post, Chloë Grace Moretz Grace John Gallagher Desiree Akhavan Drama
Augustine Frizzell, Maia Mitchell,"Mitchell,",Kyle Mooney,Comedy,never goin' back," Maia Mitchell Mitchell, Kyle Mooney Augustine Frizzell Comedy"
Ken Marino, Nina Dobrev,"Dobrev,",Vanessa Hudgens,Comedy Romance Drama,dog days," Nina Dobrev Dobrev, Vanessa Hudgens Ken Marino Comedy Romance Drama"
Jon Turteltaub, Jason Statham,"Statham,",Rainn Wilson,Action Science Fiction Horror,the meg," Jason Statham Statham, Rainn Wilson Jon Turteltaub Action Science Fiction Horror"
Spike Lee, John David Washington,David,Laura Harrier,Crime Drama History Comedy,blackkklansman, John David Washington David Laura Harrier Spike Lee Crime Drama History Comedy
Sylvain White, Joey King,"King,",Jaz Sinclair,Mystery Thriller Horror,slender man," Joey King King, Jaz Sinclair Sylvain White Mystery Thriller Horror"
Jean-Stéphane Sauvaire, Joe Cole,unknown,unknown,Drama Action Crime,a prayer before dawn, Joe Cole unknown unknown Jean-Stéphane Sauvaire Drama Action Crime
Jon M. Chu, Constance Wu,"Wu,",Gemma Chan,Comedy Drama Romance,crazy rich asians," Constance Wu Wu, Gemma Chan Jon M. Chu Comedy Drama Romance"
Albert Hughes, Kodi Smit-McPhee,"Smit-McPhee,",Jens Hultén,Adventure Drama,alpha," Kodi Smit-McPhee Smit-McPhee, Jens Hultén Albert Hughes Adventure Drama"
Peter Berg, Mark Wahlberg,"Wahlberg,",Lauren Cohan,Action Thriller,mile 22," Mark Wahlberg Wahlberg, Lauren Cohan Peter Berg Action Thriller"
Björn Runge, Glenn Close,"Close,",Christian Slater,Drama,the wife," Glenn Close Close, Christian Slater Björn Runge Drama"
James Cox, Ansel Elgort,"Elgort,",Kevin Spacey,Drama Thriller,billionaire boys club," Ansel Elgort Elgort, Kevin Spacey James Cox Drama Thriller"
Jesse Peretz, Ethan Hawke,"Hawke,",unknown,Comedy Drama Romance,"juliet, naked"," Ethan Hawke Hawke, unknown Jesse Peretz Comedy Drama Romance"
Rodrigo Cortés, AnnaSophia Robb,"Robb,",Isabelle Fuhrman,Thriller Drama Fantasy Horror,down a dark hall," AnnaSophia Robb Robb, Isabelle Fuhrman Rodrigo Cortés Thriller Drama Fantasy Horror"
Brian Henson, Melissa McCarthy,"McCarthy,",Joel McHale,Action Comedy Crime,the happytime murders," Melissa McCarthy McCarthy, Joel McHale Brian Henson Action Comedy Crime"
Aneesh Chaganty, John Cho,"Cho,",unknown,Thriller Mystery Drama,searching," John Cho Cho, unknown Aneesh Chaganty Thriller Mystery Drama"
Michael Noer, Charlie Hunnam,"Hunnam,",unknown,Drama History Crime,papillon," Charlie Hunnam Hunnam, unknown Michael Noer Drama History Crime"
Oliver Daly, Alex Neustaedter,"Neustaedter,",Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.," Alex Neustaedter Neustaedter, Alex MacNicoll Oliver Daly Science Fiction Action Adventure Family"
Chris Weitz, Oscar Isaac,"Isaac,",Lior Raz,Drama History Thriller,operation finale," Oscar Isaac Isaac, Lior Raz Chris Weitz Drama History Thriller"
"Jonathan Baker, Josh Baker", Myles Truitt,"Truitt,",Zoë Kravitz,Science Fiction Action,kin," Myles Truitt Truitt, Zoë Kravitz Jonathan Baker, Josh Baker Science Fiction Action"
Lenny Abrahamson, Domhnall Gleeson,"Gleeson,",Will Poulter,Mystery Drama Horror History,the little stranger," Domhnall Gleeson Gleeson, Will Poulter Lenny Abrahamson Mystery Drama Horror History"
Victor Levin, Winona Ryder,"Ryder,",unknown,Romance Comedy Drama,destination wedding," Winona Ryder Ryder, unknown Victor Levin Romance Comedy Drama"
Corin Hardy, Demián Bichir,"Bichir,",Jonas Bloquet,Horror Mystery Thriller,the nun," Demián Bichir Bichir, Jonas Bloquet Corin Hardy Horror Mystery Thriller"
Pierre Morel, Jennifer Garner,"Garner,",Juan Pablo Raba,Action Thriller,peppermint," Jennifer Garner Garner, Juan Pablo Raba Pierre Morel Action Thriller"
Shane Black, Boyd Holbrook,"Holbrook,",Jacob Tremblay,Science Fiction Action Thriller Adventure Horror Comedy,the predator," Boyd Holbrook Holbrook, Jacob Tremblay Shane Black Science Fiction Action Thriller Adventure Horror Comedy"
Yann Demange, Matthew McConaughey,"McConaughey,",Bel Powley,Crime Drama,white boy rick," Matthew McConaughey McConaughey, Bel Powley Yann Demange Crime Drama"
Paul Feig, Anna Kendrick,"Kendrick,",Henry Golding,Crime Comedy Mystery Drama Thriller,a simple favor," Anna Kendrick Kendrick, Henry Golding Paul Feig Crime Comedy Mystery Drama Thriller"
Richard Eyre, Emma Thompson,"Thompson,",Fionn Whitehead,Drama,the children act," Emma Thompson Thompson, Fionn Whitehead Richard Eyre Drama"
Craig William Macneill, Chloë Sevigny,"Sevigny,",Jay Huguley,Crime Drama Thriller,lizzie," Chloë Sevigny Sevigny, Jay Huguley Craig William Macneill Crime Drama Thriller"
Harold Cronk, Samuel Hunt,"Hunt,",Vanessa Bell Calloway,Drama,unbroken: path to redemption," Samuel Hunt Hunt, Vanessa Bell Calloway Harold Cronk Drama"
Stephen Cognetti, Vasile Flutur,"Flutur,",Joy Shatz,Horror,hell house llc ii: the abaddon hotel," Vasile Flutur Flutur, Joy Shatz Stephen Cognetti Horror"
Eli Roth, Jack Black,"Black,",Owen Vaccaro,Fantasy Family Comedy,the house with a clock in its walls," Jack Black Black, Owen Vaccaro Eli Roth Fantasy Family Comedy"
Dan Fogelman, Oscar Isaac,"Isaac,",Mandy Patinkin,Drama Romance,life itself," Oscar Isaac Isaac, Mandy Patinkin Dan Fogelman Drama Romance"
Jacques Audiard, John C. Reilly,C.,Jake Gyllenhaal,Western Drama Adventure,the sisters brothers, John C. Reilly C. Jake Gyllenhaal Jacques Audiard Western Drama Adventure
Sam Levinson, Odessa Young,"Young,",Hari Nef,Thriller Comedy Horror,assassination nation," Odessa Young Young, Hari Nef Sam Levinson Thriller Comedy Horror"
Wash Westmoreland, Keira Knightley,"Knightley,",unknown,Drama History,colette," Keira Knightley Knightley, unknown Wash Westmoreland Drama History"
Michael Moore,Michael Moore (director/screenplay),unknown,unknown,Documentary,fahrenheit 11/9,Michael Moore (director/screenplay) unknown unknown Michael Moore Documentary
Christian Carion, Guillaume Canet,"Canet,",unknown,Crime Drama Thriller,my son," Guillaume Canet Canet, unknown Christian Carion Crime Drama Thriller"
Lisa Dapolito,Lisa Dapolito (director); Gilda Radner,unknown,unknown,Documentary,"love, gilda",Lisa Dapolito (director); Gilda Radner unknown unknown Lisa Dapolito Documentary
Kenji Nagasaki, Justin Briner,"Briner,",Clifford Chapin,Animation Action Comedy Fantasy Adventure,my hero academia: two heroes," Justin Briner Briner, Clifford Chapin Kenji Nagasaki Animation Action Comedy Fantasy Adventure"
Karey Kirkpatrick, Channing Tatum,"Tatum,",Zendaya,Family Animation Adventure Fantasy,smallfoot," Channing Tatum Tatum, Zendaya Karey Kirkpatrick Family Animation Adventure Fantasy"
Malcolm D. Lee, Kevin Hart,"Hart,",Rob Riggle,Comedy,night school," Kevin Hart Hart, Rob Riggle Malcolm D. Lee Comedy"
David Lowery, Robert Redford,"Redford,",Danny Glover,Comedy Crime Drama,the old man & the gun," Robert Redford Redford, Danny Glover David Lowery Comedy Crime Drama"
Gregory Plotkin, Bex Taylor-Klaus,"Taylor-Klaus,",Reign Edwards,Horror,hell fest," Bex Taylor-Klaus Taylor-Klaus, Reign Edwards Gregory Plotkin Horror"
Dave Christiano, Nicholas X. Parsons,X.,Michael Gross,,power of the air,
Ruben Fleischer, Tom Hardy,"Hardy,",Riz Ahmed,Science Fiction Action,venom," Tom Hardy Hardy, Riz Ahmed Ruben Fleischer Science Fiction Action"
Bradley Cooper, Bradley Cooper,"Cooper,",Sam Elliott,Drama Romance Music,a star is born," Bradley Cooper Cooper, Sam Elliott Bradley Cooper Drama Romance Music"
George Tillman Jr., Amandla Stenberg,"Stenberg,",Russell Hornsby,Crime Drama,the hate u give," Amandla Stenberg Stenberg, Russell Hornsby George Tillman Jr. Crime Drama"
Rupert Everett, Rupert Everett,"Everett,",Colin Morgan,Drama,the happy prince," Rupert Everett Everett, Colin Morgan Rupert Everett Drama"
Damien Chazelle, Ryan Gosling,"Gosling,",Jason Clarke,History Drama,first man," Ryan Gosling Gosling, Jason Clarke Damien Chazelle History Drama"
Drew Goddard, Jeff Bridges,"Bridges,",Dakota Johnson,Thriller Drama Mystery Crime,bad times at the el royale," Jeff Bridges Bridges, Dakota Johnson Drew Goddard Thriller Drama Mystery Crime"
Ari Sandel, Wendi McLendon-Covey,"McLendon-Covey,",Jeremy Ray Taylor,Adventure Comedy Fantasy Family Horror,goosebumps 2: haunted halloween," Wendi McLendon-Covey McLendon-Covey, Jeremy Ray Taylor Ari Sandel Adventure Comedy Fantasy Family Horror"
Felix van Groeningen, Steve Carell,"Carell,",Maura Tierney,Drama,beautiful boy," Steve Carell Carell, Maura Tierney Felix van Groeningen Drama"
Ike Barinholtz, Ike Barinholtz,"Barinholtz,",Nora Dunn,Comedy,the oath," Ike Barinholtz Barinholtz, Nora Dunn Ike Barinholtz Comedy"
Nick Searcy,Nick Searcy (director); Earl Billings,Searcy,Sarah Jane Morris,Drama Crime,gosnell: the trial of america's biggest serial killer,Nick Searcy (director); Earl Billings Searcy Sarah Jane Morris Nick Searcy Drama Crime
"Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Gina Gershon, Marisa Tomei",Hannah Marks,"Marks,",Jeremy Allen White,Comedy Drama Romance,after everything,"Hannah Marks Marks, Jeremy Allen White Hannah Marks, Joey Power (directors/screenplay), Jeremy Allen White, Maika Monroe, DeRon Horton, Sasha Lane, Dean Winters, Gina Gershon, Marisa Tomei Comedy Drama Romance"
David Gordon Green, Jamie Lee Curtis,Lee,Andi Matichak,Animation Family Mystery Comedy Crime,halloween, Jamie Lee Curtis Lee Andi Matichak David Gordon Green Animation Family Mystery Comedy Crime
Marielle Heller, Melissa McCarthy,"McCarthy,",unknown,Drama Crime Comedy,can you ever forgive me?," Melissa McCarthy McCarthy, unknown Marielle Heller Drama Crime Comedy"
Jonah Hill, Sunny Suljic,"Suljic,",Katherine Waterston,Drama,mid90s," Sunny Suljic Suljic, Katherine Waterston Jonah Hill Drama"
Paul Dano, Carey Mulligan,"Mulligan,",Ed Oxenbould,Drama,wildlife," Carey Mulligan Mulligan, Ed Oxenbould Paul Dano Drama"
Elizabeth Chomko, Hilary Swank,"Swank,",Robert Forster,Drama,what they had," Hilary Swank Swank, Robert Forster Elizabeth Chomko Drama"
Donovan Marsh, Gerard Butler,"Butler,",Common,Action Thriller,hunter killer," Gerard Butler Butler, Common Donovan Marsh Action Thriller"
David Kerr, Rowan Atkinson,"Atkinson,",Ben Miller,Action Adventure Comedy,johnny english strikes again," Rowan Atkinson Atkinson, Ben Miller David Kerr Action Adventure Comedy"
Luca Guadagnino, Dakota Johnson,"Johnson,",Mia Goth,Horror Thriller,suspiria," Dakota Johnson Johnson, Mia Goth Luca Guadagnino Horror Thriller"
David G. Evans, Sarah Drew,"Drew,",Jason George,Drama War,indivisible," Sarah Drew Drew, Jason George David G. Evans Drama War"
David McCracken, Mike C. Nelson,C.,David McCracken,Action Drama Thriller,bullitt county, Mike C. Nelson C. David McCracken David McCracken Action Drama Thriller
Bryan Singer, Rami Malek,"Malek,",Gwilym Lee,Music Drama History,bohemian rhapsody," Rami Malek Malek, Gwilym Lee Bryan Singer Music Drama History"
"Lasse Hallström, Joe Johnston", Keira Knightley,"Knightley,",Eugenio Derbez,Fantasy Adventure Family,the nutcracker and the four realms," Keira Knightley Knightley, Eugenio Derbez Lasse Hallström, Joe Johnston Fantasy Adventure Family"
Tyler Perry, Tiffany Haddish,"Haddish,",Omari Hardwick,Comedy Romance,nobody's fool," Tiffany Haddish Haddish, Omari Hardwick Tyler Perry Comedy Romance"
Joel Edgerton, Lucas Hedges,"Hedges,",Russell Crowe,Drama,boy erased," Lucas Hedges Hedges, Russell Crowe Joel Edgerton Drama"
Matthew Heineman, Rosamund Pike,"Pike,",Stanley Tucci,War Drama,a private war," Rosamund Pike Pike, Stanley Tucci Matthew Heineman War Drama"
Joseph Kahn, Calum Worthy,"Worthy,",Rory Uphold,Drama Comedy Music,bodied," Calum Worthy Worthy, Rory Uphold Joseph Kahn Drama Comedy Music"
Jason Reitman, Hugh Jackman,"Jackman,",J. K. Simmons,Drama History,the front runner," Hugh Jackman Jackman, J. K. Simmons Jason Reitman Drama History"
"Yarrow Cheney, Scott Mosier", Benedict Cumberbatch,"Cumberbatch,",Kenan Thompson,Animation Family Comedy Fantasy,the grinch," Benedict Cumberbatch Cumberbatch, Kenan Thompson Yarrow Cheney, Scott Mosier Animation Family Comedy Fantasy"
Fede Alvarez, Claire Foy,"Foy,",Lakeith Stanfield,Action Crime Thriller Drama,the girl in the spider's web," Claire Foy Foy, Lakeith Stanfield Fede Alvarez Action Crime Thriller Drama"
Julius Avery, Jovan Adepo,"Adepo,",Mathilde Ollivier,Horror War Science Fiction,overlord," Jovan Adepo Adepo, Mathilde Ollivier Julius Avery Horror War Science Fiction"
"Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits", Tim Blake Nelson,Blake,Liam Neeson,Comedy Drama Western Music,the ballad of buster scruggs," Tim Blake Nelson Blake Liam Neeson Joel and Ethan Coen (directors/screenplay); Tim Blake Nelson, Zoe Kazan, Liam Neeson, Tom Waits Comedy Drama Western Music"
Daniel Fabelo & Matt Hullum, Gavin Free,"Free,",Burnie Burns,Science Fiction Action Adventure Comedy,lazer team 2," Gavin Free Free, Burnie Burns Daniel Fabelo & Matt Hullum Science Fiction Action Adventure Comedy"
Josh Webber,Josh Webber (director); Shaun Cairo (Screenplay),Webber,Gary Leroi Gray,Drama Thriller,conundrum: secrets among friends,Josh Webber (director); Shaun Cairo (Screenplay) Webber Gary Leroi Gray Josh Webber Drama Thriller
David Yates, Eddie Redmayne,"Redmayne,",Dan Fogler,Adventure Fantasy Drama,fantastic beasts: the crimes of grindelwald," Eddie Redmayne Redmayne, Dan Fogler David Yates Adventure Fantasy Drama"
Steve McQueen, Viola Davis,"Davis,",Elizabeth Debicki,Crime Thriller,widows," Viola Davis Davis, Elizabeth Debicki Steve McQueen Crime Thriller"
Sean Anders, Mark Wahlberg,"Wahlberg,",Isabela Moner,Comedy Drama,instant family," Mark Wahlberg Wahlberg, Isabela Moner Sean Anders Comedy Drama"
"Rich Moore, Phil Johnston", John C. Reilly,C.,Gal Gadot,Family Animation Comedy Adventure,ralph breaks the internet," John C. Reilly C. Gal Gadot Rich Moore, Phil Johnston Family Animation Comedy Adventure"
Steven Caple Jr., Michael B. Jordan,B.,Tessa Thompson,Drama,creed ii, Michael B. Jordan B. Tessa Thompson Steven Caple Jr. Drama
Peter Farrelly, Viggo Mortensen,"Mortensen,",Linda Cardellini,Drama Comedy Music,green book," Viggo Mortensen Mortensen, Linda Cardellini Peter Farrelly Drama Comedy Music"
Otto Bathurst, Taron Egerton,"Egerton,",Ben Mendelsohn,Adventure Action Thriller,robin hood," Taron Egerton Egerton, Ben Mendelsohn Otto Bathurst Adventure Action Thriller"
Alfonso Cuarón, Yalitza Aparicio,"Aparicio,",Fernando Grediaga,Drama,roma," Yalitza Aparicio Aparicio, Fernando Grediaga Alfonso Cuarón Drama"
Yorgos Lanthimos, Olivia Colman,"Colman,",Rachel Weisz,Drama History Comedy,the favourite," Olivia Colman Colman, Rachel Weisz Yorgos Lanthimos Drama History Comedy"
Andy Serkis, Rohan Chand,"Chand,",Cate Blanchett,Adventure Drama,mowgli: legend of the jungle," Rohan Chand Chand, Cate Blanchett Andy Serkis Adventure Drama"
Diederik van Rooijen,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell,van,Kirby Johnson,Horror Drama,the possession of hannah grace,Diederik van Rooijen (director); Brian Sieve (writer); Shay Mitchell van Kirby Johnson Diederik van Rooijen Horror Drama
John McPhail, Ella Hunt,"Hunt,",Marli Siu,Horror Comedy Fantasy,anna and the apocalypse," Ella Hunt Hunt, Marli Siu John McPhail Horror Comedy Fantasy"
Nadine Labaki, Zain Al Rafeea,Al,Boluwatife Treasure Bankole,Drama,capernaum, Zain Al Rafeea Al Boluwatife Treasure Bankole Nadine Labaki Drama
Josie Rourke, Saoirse Ronan,"Ronan,",Jack Lowden,Drama History,mary queen of scots," Saoirse Ronan Ronan, Jack Lowden Josie Rourke Drama History"
Peter Hedges, Lucas Hedges,"Hedges,",Kathryn Newton,Drama,ben is back," Lucas Hedges Hedges, Kathryn Newton Peter Hedges Drama"
"Bob Persichetti, Peter Ramsey, Rodney Rothman", Shameik Moore,"Moore,",Hailee Steinfeld,Action Adventure Animation Science Fiction Comedy,spider-man: into the spider-verse," Shameik Moore Moore, Hailee Steinfeld Bob Persichetti, Peter Ramsey, Rodney Rothman Action Adventure Animation Science Fiction Comedy"
Christian Rivers, Hugo Weaving,"Weaving,",Robert Sheehan,Adventure Science Fiction,mortal engines," Hugo Weaving Weaving, Robert Sheehan Christian Rivers Adventure Science Fiction"
Clint Eastwood, Clint Eastwood,"Eastwood,",Laurence Fishburne,Crime Drama Thriller,the mule," Clint Eastwood Eastwood, Laurence Fishburne Clint Eastwood Crime Drama Thriller"
Barry Jenkins, Kiki Layne,"Layne,",Teyonah Parris,Romance Drama,if beale street could talk," Kiki Layne Layne, Teyonah Parris Barry Jenkins Romance Drama"
Rob Marshall, Emily Blunt,"Blunt,",Ben Whishaw,Fantasy Family Comedy,mary poppins returns," Emily Blunt Blunt, Ben Whishaw Rob Marshall Fantasy Family Comedy"
James Wan, Jason Momoa,"Momoa,",Willem Dafoe,Action Adventure Fantasy,aquaman," Jason Momoa Momoa, Willem Dafoe James Wan Action Adventure Fantasy"
Travis Knight, Hailee Steinfeld,"Steinfeld,",Jorge Lendeborg Jr.,Action Adventure Science Fiction,bumblebee," Hailee Steinfeld Steinfeld, Jorge Lendeborg Jr. Travis Knight Action Adventure Science Fiction"
Robert Zemeckis, Steve Carell,"Carell,",Diane Kruger,Drama Comedy Fantasy,welcome to marwen," Steve Carell Carell, Diane Kruger Robert Zemeckis Drama Comedy Fantasy"
Peter Segal, Jennifer Lopez,"Lopez,",Vanessa Hudgens,Romance Comedy,second act," Jennifer Lopez Lopez, Vanessa Hudgens Peter Segal Romance Comedy"
Paweł Pawlikowski, Joanna Kulig,"Kulig,",Agata Kulesza,Comedy Romance,cold war," Joanna Kulig Kulig, Agata Kulesza Paweł Pawlikowski Comedy Romance"
Etan Cohen, Will Ferrell,"Ferrell,",Rebecca Hall,Mystery Adventure Comedy Crime,holmes & watson," Will Ferrell Ferrell, Rebecca Hall Etan Cohen Mystery Adventure Comedy Crime"
Adam McKay, Christian Bale,"Bale,",Steve Carell,Thriller Science Fiction Action Adventure,vice," Christian Bale Bale, Steve Carell Adam McKay Thriller Science Fiction Action Adventure"
Mimi Leder, Felicity Jones,"Jones,",Justin Theroux,Drama History,on the basis of sex," Felicity Jones Jones, Justin Theroux Mimi Leder Drama History"
Karyn Kusama, Nicole Kidman,"Kidman,",Toby Kebbell,Thriller Crime Drama Action,destroyer," Nicole Kidman Kidman, Toby Kebbell Karyn Kusama Thriller Crime Drama Action"
David Slade, Fionn Whitehead,"Whitehead,",Asim Chaudhry,Science Fiction Mystery Drama Thriller TV Movie,black mirror: bandersnatch," Fionn Whitehead Whitehead, Asim Chaudhry David Slade Science Fiction Mystery Drama Thriller TV Movie"
